date;class;focuses;uf
2024/08;Fogo em áreas de vegetação nativa;7;RIO GRANDE DO SUL
2024/08;Fogo em áreas de desmatamento recente;18;RIO GRANDE DO SUL
2024/08;Fogo em áreas de desmatamento consolidado;73;RIO GRANDE DO SUL
2024/07;Fogo em áreas de vegetação nativa;3;RIO GRANDE DO SUL
2024/07;Fogo em áreas de desmatamento recente;15;RIO GRANDE DO SUL
2024/07;Fogo em áreas de desmatamento consolidado;62;RIO GRANDE DO SUL
2024/06;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO SUL
2024/06;Fogo em áreas de desmatamento consolidado;25;RIO GRANDE DO SUL
2025/01;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO SUL
2025/06;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2025/06;Fogo em áreas de desmatamento recente;1;RIO GRANDE DO SUL
2025/06;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO SUL
2025/05;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2025/05;Fogo em áreas de desmatamento recente;15;RIO GRANDE DO SUL
2025/05;Fogo em áreas de desmatamento consolidado;71;RIO GRANDE DO SUL
2025/04;Fogo em áreas de vegetação nativa;2;RIO GRANDE DO SUL
2025/04;Fogo em áreas de desmatamento recente;19;RIO GRANDE DO SUL
2025/04;Fogo em áreas de desmatamento consolidado;91;RIO GRANDE DO SUL
2025/03;Fogo em áreas de vegetação nativa;13;RIO GRANDE DO SUL
2025/03;Fogo em áreas de desmatamento recente;7;RIO GRANDE DO SUL
2025/03;Fogo em áreas de desmatamento consolidado;38;RIO GRANDE DO SUL
2025/01;Fogo em áreas de desmatamento consolidado;19;RIO GRANDE DO SUL
2025/02;Fogo em áreas de vegetação nativa;17;RIO GRANDE DO SUL
2025/02;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO SUL
2025/02;Fogo em áreas de desmatamento consolidado;29;RIO GRANDE DO SUL
2025/01;Fogo em áreas de desmatamento consolidado;31;RIO GRANDE DO SUL
2025/01;Fogo em áreas de vegetação nativa;11;RIO GRANDE DO SUL
2025/01;Fogo em áreas de desmatamento recente;9;RIO GRANDE DO NORTE
2024/10;Fogo em áreas de desmatamento recente;38;RIO GRANDE DO NORTE
2025/06;Fogo em áreas de desmatamento recente;2;RIO GRANDE DO NORTE
2024/10;Fogo em áreas de desmatamento consolidado;52;RIO GRANDE DO NORTE
2025/06;Fogo em áreas de desmatamento consolidado;5;RIO GRANDE DO NORTE
2025/05;Fogo em áreas de desmatamento recente;6;RIO GRANDE DO NORTE
2025/05;Fogo em áreas de desmatamento consolidado;9;RIO GRANDE DO NORTE
2025/04;Fogo em áreas de desmatamento recente;12;RIO GRANDE DO NORTE
2024/09;Fogo em áreas de vegetação nativa;4;RIO GRANDE DO NORTE
2025/04;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO NORTE
2024/12;Fogo em áreas de vegetação nativa;11;RIO GRANDE DO NORTE
2025/03;Fogo em áreas de desmatamento recente;4;RIO GRANDE DO NORTE
2025/03;Fogo em áreas de desmatamento consolidado;8;RIO GRANDE DO NORTE
2025/02;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO NORTE
2024/12;Fogo em áreas de desmatamento recente;56;RIO GRANDE DO NORTE
2025/02;Fogo em áreas de desmatamento recente;5;RIO GRANDE DO NORTE
2025/02;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO NORTE
2025/01;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO NORTE
2024/09;Fogo em áreas de desmatamento recente;12;RIO GRANDE DO NORTE
2025/01;Fogo em áreas de desmatamento consolidado;38;RIO GRANDE DO NORTE
2024/12;Fogo em áreas de desmatamento consolidado;89;RIO GRANDE DO NORTE
2025/01;Fogo em áreas de desmatamento consolidado;3;RIO GRANDE DO NORTE
2024/11;Fogo em áreas de vegetação nativa;15;RIO GRANDE DO NORTE
2024/09;Fogo em áreas de desmatamento consolidado;20;RIO GRANDE DO NORTE
2024/11;Fogo em áreas de desmatamento recente;58;RIO GRANDE DO NORTE
2024/08;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO NORTE
2025/02;Fogo em áreas de desmatamento consolidado;1;RIO GRANDE DO NORTE
2024/08;Fogo em áreas de desmatamento recente;8;RIO GRANDE DO NORTE
2025/03;Fogo em áreas de desmatamento consolidado;6;RIO GRANDE DO NORTE
2025/04;Fogo em áreas de desmatamento consolidado;2;RIO GRANDE DO NORTE
2024/11;Fogo em áreas de desmatamento consolidado;96;RIO GRANDE DO NORTE
2024/10;Fogo em áreas de vegetação nativa;24;RIO GRANDE DO NORTE
2024/11;Fogo em áreas de desmatamento consolidado;12;RIO GRANDE DO NORTE
2024/10;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO NORTE
2024/10;Fogo em áreas de desmatamento consolidado;1;RIO GRANDE DO NORTE
2024/09;Fogo em áreas de desmatamento consolidado;12;RIO GRANDE DO NORTE
2024/08;Fogo em áreas de desmatamento consolidado;2;RIO GRANDE DO NORTE
2024/08;Fogo em áreas de desmatamento consolidado;16;RIO GRANDE DO NORTE
2024/07;Fogo em áreas de vegetação nativa;5;RIO GRANDE DO NORTE
2024/07;Fogo em áreas de desmatamento recente;5;RIO GRANDE DO NORTE
2024/07;Fogo em áreas de desmatamento consolidado;8;RIO GRANDE DO NORTE
2024/06;Fogo em áreas de desmatamento consolidado;1;RIO GRANDE DO NORTE
2024/06;Fogo em áreas de desmatamento consolidado;148;RIO DE JANEIRO
2024/06;Fogo em áreas de desmatamento recente;4;RIO DE JANEIRO
2024/06;Fogo em áreas de vegetação nativa;9;RIO DE JANEIRO
2024/07;Fogo em áreas de desmatamento consolidado;143;RIO DE JANEIRO
2024/07;Fogo em áreas de desmatamento recente;3;RIO DE JANEIRO
2024/08;Fogo em áreas de desmatamento consolidado;229;RIO DE JANEIRO
2024/08;Fogo em áreas de desmatamento recente;6;RIO DE JANEIRO
2024/08;Fogo em áreas de vegetação nativa;5;RIO DE JANEIRO
2024/09;Fogo em áreas de desmatamento consolidado;378;RIO DE JANEIRO
2024/09;Fogo em áreas de desmatamento recente;7;RIO DE JANEIRO
2024/09;Fogo em áreas de vegetação nativa;6;RIO DE JANEIRO
2024/10;Fogo em áreas de desmatamento consolidado;83;RIO DE JANEIRO
2024/10;Fogo em áreas de desmatamento recente;1;RIO DE JANEIRO
2025/06;Fogo em áreas de desmatamento consolidado;5;RIO DE JANEIRO
2024/10;Fogo em áreas de vegetação nativa;1;RIO DE JANEIRO
2024/11;Fogo em áreas de desmatamento consolidado;15;RIO DE JANEIRO
2024/12;Fogo em áreas de desmatamento consolidado;3;RIO DE JANEIRO
2024/12;Fogo em áreas de desmatamento recente;1;RIO DE JANEIRO
2025/05;Fogo em áreas de desmatamento consolidado;10;RIO DE JANEIRO
2025/04;Fogo em áreas de desmatamento consolidado;1;RIO DE JANEIRO
2025/03;Fogo em áreas de desmatamento consolidado;29;RIO DE JANEIRO
2025/02;Fogo em áreas de desmatamento recente;4;RIO DE JANEIRO
2025/02;Fogo em áreas de desmatamento consolidado;41;RIO DE JANEIRO
2025/01;Fogo em áreas de desmatamento recente;1;RIO DE JANEIRO
2025/01;Fogo em áreas de desmatamento consolidado;7;RIO DE JANEIRO
2024/07;Fogo em áreas de desmatamento consolidado;162;PIAUÍ
